year	term	prob
2000	Topic1	0.04
2001	Topic1	0.6
2002	Topic1	0.12
2003	Topic1	0.21
2000	Topic2	0.32
2001	Topic2	0.35
2002	Topic2	0.38
2003	Topic2	0.45
2004	Topic1	0.21
2005	Topic1	0.16
2006	Topic1	0.31
2007	Topic1	0.41
2004	Topic2	0.52
2005	Topic2	0.55
2006	Topic2	0.68
2007	Topic2	0.75
2000	Topic3	0.24
2001	Topic3	0.11
2002	Topic3	0.22
2003	Topic3	0.71
2000	Topic4	0.42
2001	Topic4	0.25
2002	Topic4	0.88
2003	Topic4	0.95
2004	Topic3	0.11
2005	Topic3	0.66
2006	Topic3	0.21
2007	Topic3	0.71
2004	Topic4	0.12
2005	Topic4	0.45
2006	Topic4	0.28
2007	Topic4	0.25
2002	Topic5	0.31
2003	Topic5	0.41
2004	Topic5	0.52
2005	Topic5	0.45
2006	Topic5	0.38
2007	Topic5	0.65
