term	Category	Freq	Term	Total	loglift	logprob	prob
519	Default	3632	child	3632	30	30	30
965	Default	3013	school	3013	29	29	29
416	Default	2251	mother	2251	28	28	28
3560	Default	2043	parent	2043	27	27	27
2370	Default	2391	masculinity	2391	26	26	26
1303	Default	1801	teacher	1801	25	25	25
421	Default	1591	network	1591	24	24	24
164	Default	3363	student	3363	23	23	23
2111	Default	1597	law	1597	22	22	22
583	Default	1286	sport	1286	21	21	21
139	Default	3074	age	3074	20	20	20
631	Default	1553	couple	1553	19	19	19
453	Default	2011	scale	2011	18	18	18
367	Default	1216	african_american	1216	17	17	17
1413	Default	3473	identity	3473	16	16	16
3749	Default	1958	sexuality	1958	15	15	15
4352	Default	1774	care	1774	14	14	14
5645	Default	1273	preference	1273	13	13	13
862	Default	1736	university	1736	12	12	12
1380	Default	1855	service	1855	11	11	11
376	Default	1980	partner	1980	10	10	10
1509	Default	3219	family	3219	9	9	9
3063	Default	1311	marriage	1311	8	8	8
2870	Default	1483	patient	1483	7	7	7
1448	Default	2807	girl	2807	6	6	6
87	Default	1722	language	1722	5	5	5
7735	Default	1375	film	1375	4	4	4
2929	Default	1316	father	1316	3	3	3
810	Default	1263	queer	1263	2	2	2
947	Default	1977	boy	1977	1	1	1
34437	topico01	173.10962	sext	173.69435	4.842100143	-4.831099987	-0.961819935
1671	topico01	167.81297	marital_satisfaction	168.51553	4.841300011	-4.862199783	-0.980799866
1978	topico01	606.9006	wife	616.0091	4.830599785	-3.576699972	-0.213780069
34647	topico01	31.753452	sexting	32.317997	4.827799797	-6.52699995	-1.985080051
34714	topico01	29.285444	womena_body	29.83871	4.826700211	-6.607900143	-2.034060001
24200	topico01	23.962309	jewish_identity	24.527779	4.822100163	-6.808499813	-2.156259823
19314	topico01	23.11275	empathic_concern	23.707916	4.820000172	-6.844600201	-2.178760052
7933	topico01	66.6837	married_couple	68.60803	4.816999912	-5.785099983	-1.544260025
9236	topico01	19.38236	marital_interaction	20.014153	4.813399792	-7.020699978	-2.28706007
3506	topico01	341.44684	sexual_harassment	352.89175	4.8125	-4.151800156	-0.566080093
12993	topico01	102.16209	smile	106.17341	4.806900024	-5.358500004	-1.292339993
28959	topico01	19.227205	psychological_trauma	20.001278	4.806000233	-7.028699875	-2.294819832
25269	topico01	14.022456	adolescents_method	14.655558	4.801300049	-7.344399929	-2.486119938
34462	topico01	19.624498	stem_gender	20.537273	4.800000191	-7.008200169	-2.284920025
11215	topico01	78.04336	mistreatment	81.72014	4.799399853	-5.627799988	-1.456920052
17063	topico01	11.784024	husbands_gender	12.355776	4.798099995	-7.518300056	-2.591740036
25878	topico01	11.738509	italy_gender	12.331513	4.796199799	-7.522099972	-2.594780064
32408	topico01	37.21933	ymsm	39.436	4.78760004	-6.368199825	-1.905879879
1669	topico01	638.859	husband	677.40924	4.786900043	-3.525300026	-0.200419998
17058	topico01	20.252928	couples_gender	21.49897	4.785699844	-6.976699829	-2.27173996
31536	topico01	20.463755	continuance	21.766436	4.783699989	-6.966400146	-2.266360092
10073	topico01	16.851437	time_use_survey	17.947548	4.782400131	-7.160600185	-2.383400059
34091	topico01	16.093254	bricolage	17.36579	4.769299984	-7.206600189	-2.41624012
9235	topico01	38.417717	husbands_wif	41.464775	4.769100189	-6.336500168	-1.894260025
17677	topico01	101.91592	cosmetic_surgery	110.54841	4.764100075	-5.360899925	-1.310899925
34702	topico01	14.229075	news_article	15.453538	4.762899876	-7.329699993	-2.492660046
7127	topico01	404.21817	harassment	439.76297	4.761199951	-3.983099937	-0.485379982
22769	topico01	15.306509	racialized	16.681725	4.759399891	-7.256700039	-2.450260067
12091	topico01	28.519972	marital_conflict	31.279533	4.753099918	-6.634399891	-2.079399967
32605	topico01	31.294275	likely_endorse	34.50531	4.747799873	-6.541600227	-2.025840187
1112	topico01	508.22244	spouse	562.54156	4.743899822	-3.754100084	-0.354900122
631	topico01	1267.8076	couple	1553.094	4.642499924	-2.839999914	0.153000021
3063	topico01	1041.8815	marriage	1311.9514	4.614999771	-3.036200047	0.024279881
4164	topico01	208.43144	marital	266.9165	4.598100185	-4.645400047	-0.947999954
10345	topico01	61.21301	sexual_coercion	72.307175	4.678899765	-5.870699883	-1.650860023
2250	topico01	282.5784	marry	380.23126	4.548600197	-4.341100216	-0.785220051
9391	topico01	49.264107	beat	57.921238	4.683599949	-6.087800026	-1.779240036
2249	topico01	124.79091	married	166.6757	4.556000233	-5.158400059	-1.272639942
19665	topico01	40.54788	parental_status	47.41417	4.68900013	-6.28249979	-1.893899822
26825	topico01	30.509516	gatekeep	34.284615	4.72879982	-6.566999912	-2.048680019
12598	topico01	36.201538	couplesa	44.234856	4.644999981	-6.395899773	-1.979539871
376	topico01	719.49426	partner	1980.6576	3.832799911	-3.406500101	-0.510780096
5978	topico01	88.96473	coercion	150.95688	4.316699982	-5.496799946	-1.571399975
5788	topico01	77.41577	withdrawal	133.21626	4.302700043	-5.635799885	-1.660399914
8508	topico01	62.02522	married_woman	103.62379	4.33220005	-5.857500076	-1.781620026
8338	topico01	61.73243	married_women	103.40107	4.329599857	-5.862199783	-1.785479927
16231	topico01	95.95079	walk	228.71515	3.976799965	-5.421199799	-1.661999893
7668	topico01	43.488712	depression_symptom	61.854168	4.493199825	-6.212500095	-1.930220127
10071	topico01	81.95402	housework	308.2229	3.520800114	-5.57889986	-1.939019871
320	topico01	250.29692	relationship	4488.32	1.958899975	-4.46239996	-1.893879986
9509	topico01	70.92525	paid_work	251.73534	3.578700066	-5.723400116	-2.002560043
5025	topico01	66.50038	intimate_relationship	223.99142	3.631000042	-5.787799835	-2.020279884
1600	topico01	96.22681	satisfaction	889.5037	2.621500015	-5.418300152	-2.202380085
2241	topico01	100.255165	conflict	1707.9313	2.010099888	-5.377299786	-2.422339916
323	topico01	110.62874	behavior	2991.9736	1.547899961	-5.278800011	-2.548120022
298	topico01	102.91866	role	3674.3333	1.270300031	-5.351099968	-2.702539968
241	topico01	84.26156	household	1426.3315	2.016499996	-5.551099777	-2.524059868
1509	topico01	69.64808	family	3219.755	1.011800051	-5.741600037	-3.040240002
24138	topico02	102.2484	fatness	103.375244	4.943900108	-5.24819994	-1.171359921
33936	topico02	45.090607	quot	45.72328	4.940899849	-6.066999912	-1.663840008
34592	topico02	34.95615	fat_bodie	35.56939	4.937399864	-6.321499825	-1.817939949
31387	topico02	42.604664	emotion_dysregulation	43.363926	4.937200069	-6.123700142	-1.699340057
27988	topico02	26.92768	feminist_geographer	27.546417	4.932099819	-6.582499981	-1.976660061
28980	topico02	26.269426	fat_body	26.885952	4.931600094	-6.607200146	-1.99168005
33251	topico02	21.458765	new_materialist	22.012253	4.929399967	-6.809500217	-2.113940144
31779	topico02	20.335352	clock	20.972837	4.923999786	-6.863299847	-2.148379993
33250	topico02	17.78325	new_materialism	18.455288	4.917699814	-6.997399807	-2.231359959
23309	topico02	13.540292	banner	14.11681	4.913099766	-7.269999981	-2.396760082
28556	topico02	26.89608	saa?de	28.085314	4.911600113	-6.58370018	-1.985580063
34248	topico02	13.512689	foucauldian_discourse	14.118097	4.910999775	-7.271999836	-2.398799992
30979	topico02	44.491047	mayor	46.631214	4.907800198	-6.080299854	-1.685059834
24899	topico02	21.713999	negro	22.82746	4.904799938	-6.797699928	-2.116699982
2502	topico02	479.2352	pain	504.7941	4.902900219	-3.703399897	-0.26087985
7996	topico02	510.73862	journal	538.0991	4.902599812	-3.639800072	-0.222840118
23683	topico02	20.134876	timea	21.338366	4.896800041	-6.87319994	-2.165199947
13693	topico02	12.916761	sex_gender_system	13.733056	4.893499851	-7.317100048	-2.432860088
33673	topico02	15.106034	scientific_production	16.102112	4.890999794	-7.16050005	-2.339900112
12843	topico02	21.00394	flirt	22.463165	4.887700081	-6.830900192	-2.143460083
28408	topico02	16.9741	conditions_possibility	18.236988	4.883100033	-7.043900013	-2.273099995
29118	topico02	13.108471	pronouncement	14.137046	4.879300117	-7.302400112	-2.42972002
29712	topico02	11.729811	relaa	12.678753	4.876999855	-7.413499832	-2.497299957
31856	topico02	31.487013	revista	34.176403	4.872900009	-6.426099777	-1.906499863
13350	topico02	55.350395	prostate_cancer	60.16286	4.871500015	-5.861999989	-1.568599987
34404	topico02	23.145199	somalia	25.449507	4.859899998	-6.733799934	-2.096319962
34533	topico02	18.904379	black_feminism	20.863085	4.856200218	-6.936200142	-2.219239998
23948	topico02	19.351011	pain_intensity	21.373856	4.855400085	-6.912899971	-2.205579948
27055	topico02	14.326811	women_everyday	15.830295	4.855000019	-7.213500023	-2.386100006
34472	topico02	23.473381	neocolonial	26.340786	4.839600086	-6.719799995	-2.096039963
4410	topico02	393.90228	fat	442.63562	4.838200092	-3.899499893	-0.404419899
5009	topico02	65.006195	life_expectancy	78.71932	4.763400078	-5.701200008	-1.515359974
29070	topico02	34.981956	storyline	40.60892	4.805699825	-6.320799828	-1.870199966
6148	topico02	228.96979	wealth	333.77423	4.578000069	-4.441999912	-0.83399992
10712	topico02	113.77757	reflexivity	162.52109	4.59829998	-5.14139986	-1.245519924
9611	topico02	88.677574	inheritance	126.93186	4.596199989	-5.390600204	-1.395880127
6543	topico02	26.840622	stature	31.515877	4.794300079	-6.585700035	-2.033699989
24130	topico02	29.688671	cortical	36.233376	4.755599976	-6.484899998	-1.988700008
13917	topico02	29.619848	experimenter	37.689754	4.713900089	-6.487199783	-2.006759834
28555	topico02	38.981945	cuidado	54.954067	4.611400127	-6.212500095	-1.882940006
26149	topico02	39.836067	feminismo	56.603073	4.603499889	-6.190899849	-1.873139954
4462	topico02	114.09345	diet	274.80115	4.075799942	-5.138599873	-1.452839947
6895	topico02	85.61615	special_issue	205.12152	4.081099987	-5.425799847	-1.623039913
11662	topico02	50.395374	feminista	96.194305	4.308400154	-5.955699921	-1.850059891
3684	topico02	72.14116	evolutionary	183.34097	4.022099972	-5.597000122	-1.749360085
7336	topico02	72.84673	biology	219.48683	3.851900101	-5.587299824	-1.811619854
57	topico02	175.82335	article	1372.8651	2.899699926	-4.706200123	-1.663840103
2138	topico02	94.87968	publish	670.3629	2.999599934	-5.322999954	-1.993959999
25736	topico02	56.374603	ga?nero	215.95312	3.611799955	-5.843599796	-2.061439896
4159	topico02	68.6405	biological	363.9664	3.286600113	-5.646800041	-2.07343998
122	topico02	120.963776	feminist	2211.058	2.049099922	-5.08010006	-2.228420067
16605	topico02	47.03827	das	141.69095	3.852099895	-6.024700165	-2.073980141
3456	topico02	57.11842	temporal	275.33313	3.381999969	-5.830500126	-2.145500088
2840	topico02	89.70089	feminism	1396.0276	2.209899902	-5.379199982	-2.343560028
310	topico02	90.912834	field	2094.2625	1.817800045	-5.365699768	-2.492299843
215	topico02	82.753174	time	3592.805	1.184000015	-5.459799767	-2.802279854
5919	topico02	59.95655	scholarship	694.9466	2.504600048	-5.782000065	-2.46736002
1500	topico02	74.77829	year	2381.257	1.493999958	-5.561100006	-2.73906002
66	topico02	76.7407	consider	4068.1084	0.984300017	-5.535200119	-2.927400064
430	topico02	69.83802	relation	3224.9238	1.122300029	-5.629499912	-2.928779936
205	topico02	65.71866	perspective	2760.729	1.217000008	-5.690299988	-2.92737999
0	topico02	63.459724	account	2257.5925	1.383200049	-5.725200176	-2.881840086
214	topico02	60.446186	take	1982.7455	1.464300036	-5.773900032	-2.878620005
811	topico02	51.92567	reflect	2164.8083	1.224599957	-5.925799847	-3.065639925
17579	topico03	53.277702	beta	53.960217	4.951099873	-5.89109993	-1.554220009
10935	topico03	24.582426	felt_pressure	25.243483	4.937300205	-6.664599895	-2.023839855
6167	topico03	20.468573	lgbs	21.122335	4.932400227	-6.847700119	-2.135659981
14877	topico03	22.008112	prefrontal_cortex	22.71941	4.932099819	-6.77519989	-2.092280006
600	topico03	75.787994	crowd	80.20048	4.907299995	-5.538700104	-1.360300064
34534	topico03	9.844551	military_sexual_trauma	10.439738	4.905200005	-7.579699993	-2.585739994
29571	topico03	15.487551	models_suggest	16.433123	4.904600143	-7.126599789	-2.314119816
11863	topico03	48.24197	cancer_patient	51.341938	4.901599884	-5.990399837	-1.633599949
10937	topico03	69.4284	gender_typicality	74.02988	4.899700165	-5.626299858	-1.415899849
21433	topico03	10.971194	predicted_later	11.890901	4.883399963	-7.471300125	-2.52942009
30348	topico03	35.17934	loop	38.564342	4.872000217	-6.306099892	-1.834859848
27008	topico03	23.186998	assess_association	25.473412	4.869800091	-6.72300005	-2.085879993
29470	topico03	12.249662	based_number	13.490431	4.867400169	-7.361100197	-2.46970005
1173	topico03	12.732476	specific_self	14.030241	4.866799831	-7.322400093	-2.446720123
31626	topico03	13.343359	helping_professional	14.733731	4.864699841	-7.275599957	-2.419480038
15814	topico03	11.854687	current_partner	13.120938	4.862400055	-7.393899918	-2.491379929
26902	topico03	49.98272	debut	55.568825	4.857900143	-5.954899788	-1.629779816
9844	topico03	13.256315	masculine_man	14.847558	4.850500107	-7.282100201	-2.429060078
4866	topico03	11.339978	role_masculinity	12.758405	4.846000195	-7.438300133	-2.524580002
