Category	Term	loglift	logprob	Relevance	year
Default	identity	30	30	30	2003
Default	child	29	29	29	2003
Default	school	28	28	28	2003
Default	age	27	27	27	2003
Default	body	26	26	26	2003
Default	culture	25	25	25	2003
Default	strategy	24	24	24	2003
Default	student	23	23	23	2003
Default	sex	22	22	22	2003
Default	community	21	21	21	2003
Default	family	20	20	20	2003
Default	girl	19	19	19	2003
Default	mother	18	18	18	2003
Default	space	17	17	17	2003
Default	policy	16	16	16	2003
Default	masculinity	15	15	15	2003
Default	discourse	14	14	14	2003
Default	network	13	13	13	2003
Default	organization	12	12	12	2003
Default	lesbian	11	11	11	2003
Default	scale	10	10	10	2003
Default	problem	9	9	9	2003
Default	program	8	8	8	2003
Default	partner	7	7	7	2003
Default	boy	6	6	6	2003
Default	stereotype	5	5	5	2003
Default	sport	4	4	4	2003
Default	participation	3	3	3	2003
Default	project	2	2	2	2003
Default	couple	1	1	1	2003
topico01	wife	4.7416	-3.4283	-0.16034	2003
topico01	husband	4.7394	-3.2957	-0.08166	2003
topico01	sexual_harassment	4.7348	-3.8313	-0.40486	2003
topico01	spouse	4.7311	-3.5023	-0.20894	2003
topico01	harassment	4.7297	-3.8085	-0.39322	2003
topico01	couple	4.7293	-2.6847	0.2809	2003
topico01	marriage	4.7228	-2.9585	0.11402	2003
topico01	marry	4.7024	-4.1785	-0.62614	2003
topico01	marital_satisfaction	4.6975	-5.0604	-1.15724	2003
topico01	marital	4.6956	-4.5234	-0.8358	2003
topico01	married	4.683	-4.8457	-1.03422	2003
topico01	smile	4.6513	-5.6254	-1.51472	2003
topico01	partner	4.6413	-2.6462	0.2688	2003
topico01	married_couple	4.6103	-6.0194	-1.76752	2003
topico01	sext	4.6081	-6.0546	-1.78952	2003
topico01	married_woman	4.6066	-5.5113	-1.46414	2003
topico01	married_women	4.6032	-5.5533	-1.4907	2003
topico01	husbands_wif	4.5989	-6.087	-1.81264	2003
topico01	withdrawal	4.5988	-5.373	-1.38428	2003
topico01	sexual_coercion	4.5826	-5.8977	-1.70558	2003
topico01	hurt	4.5825	-5.7699	-1.62894	2003
topico01	cosmetic_surgery	4.5715	-5.5336	-1.49156	2003
topico01	beat	4.5701	-6.199	-1.89136	2003
topico01	mistreatment	4.5698	-6.2661	-1.93174	2003
topico01	sexually_harass	4.5473	-6.4054	-2.02432	2003
topico01	family_work	4.5391	-5.9162	-1.73408	2003
topico01	marital_conflict	4.5351	-6.4741	-2.07042	2003
topico01	parental_status	4.5308	-6.4355	-2.04898	2003
topico01	ymsm	4.5128	-6.5846	-2.14564	2003
topico01	depression_symptom	4.5083	-6.4187	-2.0479	2003
topico01	intimate_relationship	4.4974	-5.1038	-1.26332	2003
topico01	walk	4.4974	-5.193	-1.31684	2003
topico01	unmarried	4.502	-5.6777	-1.60582	2003
topico01	coercion	4.4374	-5.4331	-1.4849	2003
topico01	marital_status	4.3168	-4.7862	-1.145	2003
