term	Category	Freq	Term	Total	loglift	logprob	Relevance
1413	Default	3606.0	identity	3606.0	30.0	30.0	30.0
519	Default	3335.0	child	3335.0	29.0	29.0	29.0
2491	Default	2435.0	body	2435.0	28.0	28.0	28.0
139	Default	2407.0	age	2407.0	27.0	27.0	27.0
965	Default	2556.0	school	2556.0	26.0	26.0	26.0
1216	Default	2353.0	strategy	2353.0	25.0	25.0	25.0
17	Default	2392.0	culture	2392.0	24.0	24.0	24.0
224	Default	2884.0	community	2884.0	23.0	23.0	23.0
164	Default	2684.0	student	2684.0	22.0	22.0	22.0
3669	Default	2722.0	sex	2722.0	21.0	21.0	21.0
1509	Default	2330.0	family	2330.0	20.0	20.0	20.0
1448	Default	2063.0	girl	2063.0	19.0	19.0	19.0
416	Default	1835.0	mother	1835.0	18.0	18.0	18.0
1060	Default	2001.0	policy	2001.0	17.0	17.0	17.0
857	Default	1892.0	space	1892.0	16.0	16.0	16.0
2370	Default	1594.0	masculinity	1594.0	15.0	15.0	15.0
1636	Default	2261.0	discourse	2261.0	14.0	14.0	14.0
3205	Default	1565.0	program	1565.0	13.0	13.0	13.0
698	Default	1508.0	lesbian	1508.0	12.0	12.0	12.0
453	Default	1678.0	scale	1678.0	11.0	11.0	11.0
421	Default	1379.0	network	1379.0	10.0	10.0	10.0
947	Default	1617.0	boy	1617.0	9.0	9.0	9.0
1658	Default	1903.0	organization	1903.0	8.0	8.0	8.0
329	Default	1634.0	stereotype	1634.0	7.0	7.0	7.0
583	Default	1277.0	sport	1277.0	6.0	6.0	6.0
376	Default	1516.0	partner	1516.0	5.0	5.0	5.0
3749	Default	1550.0	sexuality	1550.0	4.0	4.0	4.0
87	Default	1384.0	language	1384.0	3.0	3.0	3.0
1694	Default	1611.0	project	1611.0	2.0	2.0	2.0
202	Default	1399.0	participation	1399.0	1.0	1.0	1.0
1978	Topic1	624.9643372877343	wife	632.7173924831271	4.7417	-3.4229	-0.15705999999999998
1669	Topic1	717.6742342554081	husband	728.1240884995698	4.7396	-3.2846	-0.07491999999999988
3506	Topic1	412.8691505398448	sexual_harassment	420.9044175476372	4.7348	-3.8375	-0.4085799999999997
1112	Topic1	573.2186273061841	spouse	586.5948646119795	4.731	-3.5094	-0.21323999999999965
7127	Topic1	429.4436747713927	harassment	439.8996570098478	4.73	-3.7981	-0.38685999999999954
631	Topic1	1229.6088064561575	couple	1262.2666348741077	4.7279	-2.7462	0.24344000000000032
3063	Topic1	972.4980312785791	marriage	1003.9883249711553	4.7222	-2.9808	0.10040000000000027
