id	A�o	Revista	Titulo	Resumen	Tipo	Pais
2-s2.0-84905185049	2014	Psychology of Men and Masculinity	It's about respect: Gender-professional identity integration affects male nurses' job attitudes	Men who work in female-dominated jobs may perceive either overlap or incongruity between their gender and professional identities, yet little research has examined the effects of such perceptions for these men. The present research explored the impact of gender-professional identity integration (GPII), a measure of how much two identities overlap, on job satisfaction and organizational commitment, as well as on likelihood to pursue externally visible credentials, for male nurses. Analyses of data collected from 178 male nurses demonstrated that GPII significantly predicted job satisfaction and organizational commitment, and that perceived respect of nursing partially mediated this relationship. Evidence for the association between GPII and externally visible credentials was mixed, and perceived respect of nursing did not mediate this relationship. We discuss the implications of these findings for men in nursing, including the importance of perceived respect of one's occupation in formation of positive job attitudes. © 2014 American Psychological Association.	Article	 France
2-s2.0-46149125529	2008	Gender in Management	Rural women entrepreneurship within co-operatives: Training support	Purpose - The purpose of this paper is to appraise rural women entrepreneurs, running co-operatives in Greece. The paper seeks to examine the effects of training support on their entrepreneurial skills and attitudes, co-operatives' viability and growth prospects, and work-family balance. Design/methodology/approach - An evaluation research was conducted in which 104 rural women members of co-operatives, who had participated in a specific training program contributed. Anonymous questionnaires were used to collect data on participants' perceptions of the effects of the training intervention. Descriptive statistics, factor analysis and intercorellations were employed in analysing the data. Findings - The data illustrate that participants perceived benefits in terms of skill improvements, i.e. identification and capturing of business opportunities, effective co-operation and flexibility in decision making and more positive attitudes towards entrepreneurship. In addition, perceptions related to the development and growth prospects of the co-operative and to work-family balance have also been positively affected. Practical implications - The effectiveness of an entrepreneurship program can be enhanced when it is designed to meet the real needs of the organization and thus is more focused. Training needs analysis prior to intervention is a prerequisite. Moreover, achieving work-family balance can also be seen as an aspect of a co-operative's performance that can be improved through training. Originality/value - This paper enriches research on the effect of entrepreneurship training programs for rural women co-operative members.	Article	 Greece
2-s2.0-84881586567	2012	NASPA Journal About Women in Higher Education	Women faculty at risk: U.s. professors report on their experiences with student incivility, bullying, aggression, and sexual attention	In this study of a random sample of 524 professors (47% women, 83% White) from 100 colleges and universities across the United States, 91% reported at least one act of student incivility/bullying, 25% experienced at least one sexual behavior from a student, and 1-2% said a student had used or threatened them with violence in the past year. Women, minorities, younger faculty, and those with less experience and credentials reported more incivility/bullying from students. More women (63.3%) than men (50.2%) reported a serious incident of student incivility, bullying, aggression or sexual attention during their careers. Discussion includes recommendations for faculty and administrators concerning reporting, preventing, and handling such experiences.	Article	 United States
2-s2.0-85065074623	2019	Journal of Gay and Lesbian Social Services	Cyberbullying and health: A preliminary investigation of the experiences of Canadian gay and bisexual adult men	The majority of cyberbullying studies are within the school environment. This quantitative study investigates cyberbullying among Canadian gay and bisexual men outside of the educational setting through a cross-sectional survey. Of the 7,430 respondents, 4.6% reported cyberbullying in the past year, with younger, Aboriginal, lower-educated, lower-income respondents reporting higher odds of experiencing cyberbullying. Victimization from cyberbullying was significantly associated with experiences of antigay discrimination as well as worry about antigay prejudice. A variety of negative health outcomes were also associated with cyberbullying, including intimate partner violence and suicidality. Implications for social service providers and future research are discussed. © 2019, © 2019 Taylor & Francis Group, LLC.	Article	 Canada
2-s2.0-84862928015	2011	Asian Journal of Women's Studies	From larva to butterfly: Sophia in ding ling's miss sophia's diary and coco in wei hui's	Sophia and Coco are two characters in Ding Ling's Miss Sophia's Diary (1928/1995) and Wei Hui's Shanghai Baby (1999), respectively. Like a larva, Sophia, who enters society in the early twentieth century, is weak and immobile. Coco, who lives at the end of the twentieth century, is like a butterfly leading an outlandish lifestyle. The differences between Sophia and Coco reflect the achievement of official feminism, which liberated Chinese women from traditional patriarchal control in the social sense. However, gender issues for women remain unresolved. To fight against traditional patriarchy and especially challenge gender oppression in official feminism, both Sophia and Coco boldly acknowledge and pursue sexual desire. Their feminist discourses are both commendable and controversial, given their situations and the times in which they live. © 2011 Asian Center for Women's Studies; Ewha Womans University Press.	Article	 X.
2-s2.0-84892428948	2014	Journal of Middle East Women's Studies	"Toward a feminist analysis of ""impact"": Sondra Hale's legacy and Egypt's ongoing revolution"	Sondra Hale's deep and long-term relationship with Sudan has produced a substantial body of scholarship that has transformed the anthropology of gender in the Middle East. She argues in her work that a version of Islamic citizenship was articulated by Hassan al-Turabi's Islamist government in Sudan in the 1990s to shape society's notion of the ideal Muslim woman. This essay looks at Hale's work on women's citizenship in Sudan to examine the constitution of this notion and how it shapes women's citizenship in post-Arab Spring Egypt. My aims are to explore the various conflicting powers through which ideals of women's citizenship in Egypt after the revolution are produced and to problematize Hale's notion of citizenship to better understand the role that Islamism plays in shaping these gendered political subjectivities. © 2013.	Article	 S.
2-s2.0-78149245517	2010	Revista Latinoamericana de Psicopatologia Fundamental	Violent behavior, gender and psychopathology [Comportamento violento, gênero e psicopatologia]	Violence committed by individuals with severe mental disorders has come under considerable scrutiny recently by mental health professionals, police authorities and other segments of society. Men are more aggressive than women among the general population. In contrast, however, it has been found that the difference between the genders in terms of violence is smaller among individuals with mental disorders than among people in general. © 2009 University Association for Research in Fundamental Psychopathology.	Article	 Brazil
2-s2.0-85058694995	2018	Comparative Migration Studies	Shifting vulnerabilities: gender and reproductive care on the migrant trail to Europe	The reproductive care of pregnant migrants entering the European Union via its Mediterranean borders represents an under-examined topic, despite a growing scholarly emphasis on female migrants and the gendered aspects of migration in the past three decades. This article uses ethnographic data gathered in Greece, Italy, and Spain to examine pregnant migrants’ experiences of crossing, first reception, and reproductive care. We discuss our findings through the conceptual lens of vulnerability, which we understand as a shifting and relational condition attributed to, or dynamically endorsed by, migrant patients within given social contexts and encounters. We focus on two principal aspects of migrant women’s experiences. First, we shed light on their profiles, their journeys to Europe via the three main Mediterranean routes, and the conditions of first reception. Through ethnographic vignettes we examine the diverse ways in which pregnant migrants become vulnerable within these contexts. Second, we turn to the reproductive healthcare they receive in EU borderlands. We explore how declinations of ideas of vulnerability shape the medical encounter between healthcare professionals and migrant women and how vulnerability is dynamically used or contested by migrant patients to engage in meaningful social relations in unpredictable and unstable borderlands. © 2018, The Author(s).	Article	 Italy
2-s2.0-77954651992	2009	Revista de Psicologia Social	Descriptive and prescriptive features of gender stereotyping. relationships among its components [Características descriptivas y prescriptitas de la estereotipia de género. Efectos sobre la relación entre componentes]	This paper explores the relation between gender stereotyping in traits and roles and sociodemographic variables, as well as the relation between the descriptive and prescriptive characteristics of such traits and roles. In Study 1, a representative national sample of 1255 participants was used. The results showed that trait stereotyping did not vary among participants, whereas role stereotyping did vary as a function of gender (women stereotyped less) age (young people stereotyped less) and educational level (people with a high level stereotyped less). The relation between trait stereotyping (descriptive) and role stereotyping (prescriptive) is very low. Study 2 was carried out to verify mainly the relation between the prescriptive and descriptive aspects of a single component: traits. The participants were 96 professional women. In this study, a weak relation was found between the descriptive and the prescriptive aspects of trait stereotyping, and a strong relation between the prescriptive aspects of traits and roles. These results are coherent with the assumption that the descriptive and prescriptive aspects of gender stereotyping are independent. In both studies, correlations were observed indicating that people who tend to stereotype in instrumental traits also maintain more stereotyped beliefs about the prescriptive trait and role aspects. © 2009 by Fundación Infancia y Aprendizaje.	Article	 Spain
2-s2.0-84983315993	2017	Journal of Bisexuality	Home-o: Being at Home with Reflections on Hetero-Homosexual Identity	This article presents a creative interpretation of interaction between hetero- and homosexual worlds. The metaphor of home is used to transfer different meanings and experiences of hetero-homosexuality into private and personal takes on bisexuality and being heteroflexible. Self-knowledge is implicitly equated with awareness of one's sexuality. © 2017 Taylor & Francis Group, LLC.	Article	 Australia
