Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Schneidhofer T.M., Schiffinger M., Mayrhofer W.","Still a man's world?: The influence of gender and gender role type on income in two business school graduate cohorts over time",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"65","82",,2,10.1108/02610151211199227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986161392&doi=10.1108%2f02610151211199227&partnerID=40&md5=2ee4252ffdc5fa81efb01ac932892d1b","Interdisciplinary Group for Management and Organisational Behaviour, University of Economics and Business, Vienna, Austria","Schneidhofer, T.M., Interdisciplinary Group for Management and Organisational Behaviour, University of Economics and Business, Vienna, Austria; Schiffinger, M., Interdisciplinary Group for Management and Organisational Behaviour, University of Economics and Business, Vienna, Austria; Mayrhofer, W., Interdisciplinary Group for Management and Organisational Behaviour, University of Economics and Business, Vienna, Austria","Purpose – The purpose of this paper is to analyse the effects of gender and gender role type on objective career success over time from a career practices perspective. Design/methodology/approach – Based on a relational perspective on gender shifting attention to a field, habitus, and capital-based view on careers, the paper analyses the interrelation of gender, gender role type (GRT) and income with a longitudinal two-cohort design of business school graduates (1990, 2000), using mixed linear models. Findings – In line with the authors' argumentation, female or undifferentiated GRT earn less than masculine or androgynous GRT in both cohorts over time, and relative income of androgynous compared to masculine men is higher in the 2000 cohort than in the 1990 cohort. Contrary to the authors' hypotheses, the income gap between women and men has widened rather than narrowed, and masculine women of the 2000 cohort do not attain a higher proportion of the androgynous women's mean income compared to the 1990 cohort. Research limitations/implications – Career success is based on self-report data (income) and partially based on retrospective evaluations thereof. As the idea of connecting masculinity and femininity to gender and career outcomes arose after data collection, the authors had to rely on the psychometric items and scales already contained in the questionnaire. Originality/value – Instead of (re- or de-)constructing gender as bipolar object, but as realisation of historical acting including the context within which practical actions take place, the concept of GRT is applied to objective career success from a longitudinal perspective, owing to the relational nature of gender and the temporal nature of careers, as well as its embeddedness in the context within which trajectories unfold. In doing so, it shifts attention to career practices, emerging from the interplay of career field, career habitus, and career capital. © 2012, Emerald Group Publishing Limited","Careers; Equal opportunities; Income; Longitudinal study; Sex and gender issues",,,,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84986161392
"Kyriakidou O.","Negotiating gendered identities through the process of identity construction: Women managers in engineering",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"27","42",,5,10.1108/02610151211199209,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986161373&doi=10.1108%2f02610151211199209&partnerID=40&md5=623adae3357da65d05e215f475049e84","Department of Business Administration, University of Economics and Business, Athens, Greece","Kyriakidou, O., Department of Business Administration, University of Economics and Business, Athens, Greece","Purpose – The purpose of this paper is to build and enrich theory around professional identity construction by investigating the development of professional identity under conditions of marginalized gender identity. Professional identity is defined by Ibarra and by Schein as one's professional self-concept based on attributes, beliefs, values, motives, and experiences. Professional identity construction under conditions of marginalization presents an interesting puzzle. Professional roles are defined as prestigious and provide the role holder with autonomy and, often, a degree of privilege. However, minority professionals are often accorded little prestige and/or privilege because their identities are perceived as inferior. Design/methodology/approach – The research studies narratives by 33 prominent women engineers with careers in management who discuss what it means to be both women and engineers holding high management positions in their organizations. Findings – The research demonstrates that the process of identity construction for women engineers differs in significant ways from that of their male counterparts. The process is centered in redefinition that allows women professionals to construct possible selves and establish positive professional identities: redefinition of occupational rhetorics, disadvantage, and the self. Research limitations/implications – This study of professional identity construction under conditions of disadvantaged gender identity contributes a new perspective for theorists researching professional identity construction. The results reveal that the development of professional identity for minority women may involve the processes and tasks of redefinition. The tasks in redefinition include redefining disadvantage, redefining the profession, and redefining the self. Moreover, the use of narrative calls for organizational researchers to consider theories in sociology, history, policy, and psychology in the attempts to answer careers questions. Practical implications – The implications of this research are significant for human resource management practices in the construction and engineering field. Originality/value – While there is growing interest in professional identity construction (e.g. Clarke et al.), little is known about how marginalization may influence the development of professional identity of minority professionals, such as women managers in engineering. © 2012, Emerald Group Publishing Limited","Careers; Engineering; Professional identity; Role ambiguity; Sex and gender issues; Women",,"Kyriakidou, O.; Department of Business Administration, University of Economics and Business, Athens, Greece",,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84986161373
"O'Connor P.","Irish universities: Male-dominated? Limits and possibilities for change?",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"83","96",,2,10.1108/02610151211199236,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986064597&doi=10.1108%2f02610151211199236&partnerID=40&md5=3306f478015d1c9a3cf024e9195012ca","Department of Sociology, University of Limerick, Limerick, Ireland","O'Connor, P., Department of Sociology, University of Limerick, Limerick, Ireland","Purpose – This paper aims to provide a quantitative picture of the extent to which Irish universities are male-dominated at senior management, professoriate and governance levels; to locate this pattern in an international context; and, drawing on qualitative data from a purposive sample of Irish university senior managers, to explore the limits and possibilities of change. Design/methodology/approach – The quantitative data at senior management level draw on a largely web-based study, supplemented by interview data from a purposive sample of 40 people (85 per cent response rate) in senior management positions in all seven universities funded by the state – including those at Dean to Presidential level, men and women, and academics and non-academics. The interview schedule used in the qualitative study was devised by the eight-country Women in Higher Education Management Network (WHEM). Findings – Irish universities are very male-dominated at senior management, professoriate and governance levels. The qualitative data suggest that the limits to change are an organisational culture that is homosocial and conformist, where women and their attitudes and priorities are seen as “the problem”. Yet there was a striking level of endorsement of various discourses suggesting that having women in senior management makes a difference. Research limitations/implications – The failure of the Higher Educational Authority to collect data on the gender of those in senior management in Irish universities has necessitated the use of the web. This is an effective pragmatic response, but obviously not as satisfactory as official data. Practical implications – It has been widely recognised that diversity in management teams is positively associated with innovation. In this context the absence of such diversity in the senior management teams in Irish universities raises concerns in the context of the challenges facing Irish society in general and the university sector in particular. The references to the organisational culture as conformist and homosocial raise fundamental questions about the universities' ability to use the skills of their staff to move the institution forward. Originality/value – The paper is the first specific study of senior management in Irish universities. It echoes and specifies the nature of the organisational culture – but also highlights the existence of legitimating discourses endorsed by senior managers. © 2012, Emerald Group Publishing Limited","Change; Change management; Diversification; Gender; Ireland; Irish; Management culture; Universities; Women",,"O'Connor, P.; Department of Sociology, University of Limerick, Limerick, Ireland",,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84986064597
"Kyriakidou O., Arnold K., Bell Crawford J.","Lost opportunity: Is transformational leadership accurately recognized and rewarded in all managers?",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"43","64",,7,10.1108/02610151211199218,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986173170&doi=10.1108%2f02610151211199218&partnerID=40&md5=6908e67ba7f36530c7f14912527251bc","Department of Management, Saint Mary's University, Halifax, Canada; Faculty of Business Administration, Memorial University, St John's, Canada","Kyriakidou, O., Department of Management, Saint Mary's University, Halifax, Canada; Arnold, K., Faculty of Business Administration, Memorial University, St John's, Canada; Bell Crawford, J., Department of Management, Saint Mary's University, Halifax, Canada","Purpose – This study aims to test how senior leaders recognize and reward the same leadership behavior in male and female managers. Design/methodology/approach – A total of 120 senior government leaders evaluated simulated performance reviews wherein only manager's sex and engagement in individually considerate transformational leadership behavior varied. Findings – Senior leaders (of both sexes) penalized male and female managers for failing to engage in individually considerate transformational leadership behavior (i.e. rating them as significantly less competent and civil, and recommending them for significantly fewer rewards such as salary and promotion) compared to control groups. However, only male managers benefited (in terms of competence ratings, recognition and reward) from being rated high on this behavior. Practical implications – Findings support arguments in the literature for a “feminization” of leadership, whereby both male and female managers are now penalized for not engaging in individually considerate leadership behavior. However, they also question the extent to which women will get credit for engaging in some of the same transformational leadership behaviors as men. Originality/value – Researchers and practitioners often collapse across components of the Multi-Factor Leadership Questionnaire (MLQ) in measuring transformational leadership behavior. This may obfuscate some of the components being aligned with sex role stereotypes, and therefore unlikely to be rewarded in certain candidates. If the present findings are confirmed by future research, there may be reason to question how the MLQ is being used in research and practice on transformational leadership behavior. © 2012, Emerald Group Publishing Limited","Individually considerate leadership behaviour; Leader evaluation; Leadership; Leadership styles; Performance appraisal; Promotion; Transformational leadership; Women",,,,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84986173170
"Panayiotou A.","Deconstructing the manager: Discourses of power and resistance in popular cinema",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"10","26",,3,10.1108/02610151211199191,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893935667&doi=10.1108%2f02610151211199191&partnerID=40&md5=c6b5ffafec05d92881cafc8d30b00a92","Department of Public and Business Administration, University of Cyprus, Nicosia, Cyprus","Panayiotou, A., Department of Public and Business Administration, University of Cyprus, Nicosia, Cyprus","Purpose – This article aims to explore how mainstream popular cinema, usually a vehicle of effortless and accessible entertainment, produces or reproduces prevailing discursive constructs about managers, management and corporate firms and provides a cultural reading of organizations. Using a post-structuralist framework, it seeks to deconstruct the representations of managers in several popular films. It aims to propose that the analysis of this representation allows complex questions about the nature of power in organizations and the “opportunity costs” of resistance to be addressed. Design/methodology/approach – This article focuses on the discursive formation of managers and employees in popular films. The films were chosen using a popularity measure on the Internet Movie Database (www.imdb.com) and treated as “visual narratives”. A variation of Rose's discourse analysis method was used. To critically view the films, a post-structuralist perspective was adopted, in which questions of power, gender and sexuality are seen as fundamental. Gender is a discursive practice that becomes material through the power and resistance subjectified by the human body while “truth” is referenced through specific words and images – so constructed by the “reality” of popular culture. Findings – The analysis reveals two seemingly competing discourses surrounding the representations of managers that encompass both a description of power and the resistance to this power. In this sense, although popular films position subjects – managers and those managed – in very specific ways, at the same time their construct of power is highly contextual and open to change. This finding leads to, first, a Foucauldian understanding of power and, second, a reconceptualization of power and resistance as one and the same construct, power/resistance, that may help address the “where”, “who”, and “why” of resistance that has previously been ignored. Originality/value – The article brings popular culture to center stage in organization studies and argues that by not paying attention to its power to inform, society is cut off from valuable knowledge about how management is “done”. The article also reveals that although on surface the representations of managers in films seem to reinforce the dominant discourse of the “macho” manager, at the same time, a second representation – the bright, eager, usually working-class employee who wants to emulate the boss but then “sees the light” and becomes a “hero” – is offering a critique of this construct, making popular culture potentially subversive. © 2012, Emerald Group Publishing Limited","Cinema; Gender; Organizations; Postmodernism; Qualitative research; Sex and gender issues",,"Panayiotou, A.; Department of Public and Business Administration, University of Cyprus, Nicosia, Cyprus",,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84893935667
"Kyriakidou O.","Gender, management and leadership",2011,"Equality, Diversity and Inclusion: An International Journal","31","1",,"4","9",,6,10.1108/02610151211201296,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900863018&doi=10.1108%2f02610151211201296&partnerID=40&md5=69827087474773fbe0fd35659fb4a204","Department of Business Administration, University of Economics and Business, Athens, Greece","Kyriakidou, O., Department of Business Administration, University of Economics and Business, Athens, Greece","Purpose – The purpose of this paper is to introduce the special issue which presents cutting-edge research in the field of gender, management, and leadership. Design/methodology/approach – The special issue arose following the success of a stream on gender, management and leadership held at the Equality, Diversity and Inclusion Conference, and generated 22 full-paper submissions for consideration from conference participants and from responses to the call. The papers covered many themes and incorporated a range of different methodologies. Ultimately, six were selected to be included in this special issue. Findings – All studies of this special isue reveal gender performativity, as the “taken for granted” practice of gender. They show, exactly as suggested by Butler, that gender categories are brought into being performatively, so that “naming” of a subject creates the preconditions for certain categories which then become invested with meaning. Practical implications – All of the studies included in this special issue show that studying gender, management and leadership in organisations is significant: we do not really leave gender at the door when entering our organisational work lives; rather, we “do” gender in specific ways, some reflexive but most perhaps not. Originality/value – The paper shows that the special issue highlights the fact that management jobs have traditionally been understood as being constructed according to male norms and thus creating difficulties for women. These include the material part of their work as well as the stereotypical expectations and perceptions and reactions from others. The taken-for-granted point of departure is that women and men are essentially different, as shown by the ascribed congruency between men and management jobs. The studies reported in this special issue, however, try to challenge such conceptions and call for more sophisticated ways to interpret women's and men's experiences in management positions to enhance the understanding of the complexity of everyday organisational processes. © 2012, Emerald Group Publishing Limited","Gender; Leadership; Managers",,"Kyriakidou, O.; Department of Business Administration, University of Economics and Business, Athens, Greece",,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84900863018
"Sax L.J., Shapiro C.A., Eagan M.K.","Promoting mathematical and computer self-concept among female college students: Is there a role of single-sex secondary education?",2011,"Journal of Women and Minorities in Science and Engineering","17","4",,"325","355",,3,10.1615/JWomenMinorScienEng.2011002386,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255194736&doi=10.1615%2fJWomenMinorScienEng.2011002386&partnerID=40&md5=669ade11c3a2fb8eb9c63126d91ca8d2","Graduate school of Education and Information Studies, University of California, Los Angeles CA 90095-1521, United States; Center for Educational Assessment, University of California, Los Angeles CA 90095-1521, United States; Higher Education Research Institute, University of California, Los Angeles CA 90095-1521, United States","Sax, L.J., Graduate school of Education and Information Studies, University of California, Los Angeles CA 90095-1521, United States; Shapiro, C.A., Center for Educational Assessment, University of California, Los Angeles CA 90095-1521, United States; Eagan, M.K., Higher Education Research Institute, University of California, Los Angeles CA 90095-1521, United States","At a time when women remain significantly underrepresented in many science, technology, engineering, and mathematics (STEM) fields in college and in the workforce, it is important to consider how educational environments contribute to women's beliefs about their STEM-related skills and abilities. This study examines how one strategy-single-sex secondary education-correlates with mathematical and computer self-concept among women entering college. The study uses multilevel modeling to address secondary school-level effects in a national sample of college-going women. The analyses suggest that allgirls secondary schools-whether independent or Catholic-affiliated-produce graduates who enter college marginally more confident in their mathematical and computer skills than women from equivalent backgrounds who attend coeducational schools. For the most part, the small predictive power of school gender remains significant even after accounting for the confounding role of student background characteristics, school-level features, and peer contexts within each school. This examination comes at a time of renewed national interest in the value and appropriateness of single-sex education, especially as changes to Title IX have expanded the opportunities to establish single-sex classes and activities. © 2011 by Begell House, Inc.","Gender; Math; Self-concept; Single-sex; Stem",,"Sax, L. J.; Graduate School of Education and Information Studies, University of California, Los Angeles CA 90095-1521, United States; email: lsax@ucla.edu",,,10728325,,,,"English","J. Women Minorities Sci. Eng.",Article,,Scopus,2-s2.0-84255194736
"Ryabov I., Wang G.-Z.","Assessing academic climate change in gender diversity in the areas of science and engineering",2011,"Journal of Women and Minorities in Science and Engineering","17","4",,"371","388",,1,10.1615/JWomenMinorScienEng.2011001784,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255194729&doi=10.1615%2fJWomenMinorScienEng.2011001784&partnerID=40&md5=47c2fd0caa6493913196abc42c9b32aa","University of Texas-Pan American, 1201 W. University Drive, Edinburg, TX 78539-2999, United States","Ryabov, I., University of Texas-Pan American, 1201 W. University Drive, Edinburg, TX 78539-2999, United States; Wang, G.-Z., University of Texas-Pan American, 1201 W. University Drive, Edinburg, TX 78539-2999, United States","This paper presents results of two climate surveys conducted at an institution of higher education as an evaluation effort of the effectiveness of the National Science Foundation's ADVANCE initiative, the purpose of which is to facilitate academic climate change in the areas of science and engineering. The ADVANCE initiative administered a series of institution-wide programs encompassing a span of five years aimed at improving the academic climate through policies and procedures at the institutional level. The purpose of the paper is to assess the effectiveness of the ADVANCE grant initiative. Effectiveness is measured by the changes in institutional climate in terms of attitudes toward gender diversity and increase in representation and advancement of female faculty in science and engineering. The climate surveys administered at the beginning and at the end of the ADVANCE initiative targeted all male and female tenure-track and tenured faculty in 18 science and engineering departments. The results showed that the gender-based differences in the assessment of institutional climate observed at the beginning of the initiative lessened or became insignificant at the end of the initiative. The results also revealed overall improvement of climate in the areas of hiring, promotion and tenure, resources for research and teaching, attitudes toward gender diversity. © 2011 by Begell House, Inc.","Academic culture; Gender diversity; Gender equity; Institutional climate; Science and engineering; Survey",,"Ryabov, I.; University of Texas-Pan American, 1201 W. University Drive, Edinburg, Texas 78539-2999, United States; email: Ryabovi@utpa.edu",,,10728325,,,,"English","J. Women Minorities Sci. Eng.",Article,,Scopus,2-s2.0-84255194729
"Borum V., Walker E.","Why didn't i know? black women mathematicians and their avenues of exposure to the doctorate",2011,"Journal of Women and Minorities in Science and Engineering","17","4",,"357","369",,3,10.1615/JWomenMinorScienEng.2011003062,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255178959&doi=10.1615%2fJWomenMinorScienEng.2011003062&partnerID=40&md5=89afd7005c3a507b9680a75b01bc7c44","Wayne State University, 235 Education Building, 656 West Kirby, Detroit MI 48202, United States; Teachers College, Columbia University, New York City 10027, United States","Borum, V., Wayne State University, 235 Education Building, 656 West Kirby, Detroit MI 48202, United States; Walker, E., Teachers College, Columbia University, New York City 10027, United States","There is clearly a scarcity in the number of women and minorities who pursue higher degrees in mathematics and other science, technology, engineering, and math (STEM) fields. After-school programs, out-of-school programs, and various summer research programs have been structures for enrichment in promoting racial and gender equity in the STEM fields. This qualitative study examines the formative, professional, and personal experiences of twelve black women who have obtained their doctoral degrees in mathematics. Black feminist thought inquiry was used as the theoretical framework and a grounded-theory approach was used to analyze the data. Through these women's experiences, informal and formal avenues of exposure such as family influence, informal dialogue, and attending historically black colleges and universities emerged as factors for their success in becoming a mathematician. Findings indicate that greater awareness and exposure to the field of mathematics and other STEM disciplines are beneficial for the success of women and minorities. Future research is recommended to determine effective networks and/or academic pipelines that promote awareness and exposure to mathematics and other STEM fields at all academic levels. © 2011 by Begell House, Inc.","After-school programs; Exposure; Mathematics; Minorities; Out-of-school programs; Women",,"Borum, V.; Wayne State University, 235 Education Building, 656 West Kirby, Detroit MI 48202, United States; email: vborum@wayne.edu",,,10728325,,,,"English","J. Women Minorities Sci. Eng.",Article,,Scopus,2-s2.0-84255178959
"Shuen J.A., Elia A.R., Xu K., Chen C.-F.J., Jiang A., Litkowski E., Bonhivert A., Hsu-Kim H., Schwartz-Bloom R.D.","Femmes: A one-day mentorship program to engage 4th-6th grade girls in stem activities",2011,"Journal of Women and Minorities in Science and Engineering","17","4",,"295","312",,2,10.1615/JWomenMinorScienEng.2011002292,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255175915&doi=10.1615%2fJWomenMinorScienEng.2011002292&partnerID=40&md5=f92dbf6032b1fded3082c85964ab87f0","Trinity College, Duke University, Durham, NC 27710, United States; Department of Civil and Environmental Engineering, Duke University, Durham, NC 27710, United States; Department of Pharmacology and Cancer Biology, Duke University Medical Center, Durham, NC 27710, United States","Shuen, J.A., Trinity College, Duke University, Durham, NC 27710, United States; Elia, A.R., Trinity College, Duke University, Durham, NC 27710, United States; Xu, K., Trinity College, Duke University, Durham, NC 27710, United States; Chen, C.-F.J., Trinity College, Duke University, Durham, NC 27710, United States; Jiang, A., Trinity College, Duke University, Durham, NC 27710, United States; Litkowski, E., Trinity College, Duke University, Durham, NC 27710, United States; Bonhivert, A., Trinity College, Duke University, Durham, NC 27710, United States; Hsu-Kim, H., Department of Civil and Environmental Engineering, Duke University, Durham, NC 27710, United States; Schwartz-Bloom, R.D., Department of Pharmacology and Cancer Biology, Duke University Medical Center, Durham, NC 27710, United States","Existing gender disparities in science, technology, engineering, and math (STEM) fields underscore the need for outreach programs to engage young women in these subjects. Although many programs exist for high school students, girls may lose interest in STEM subjects at an earlier age. Females Excelling More in Math, Engineering, and Science (FEMMES) hosts an annual, free, one-day event that provides exciting, hands-on workshops for 4th-6th grade girls from Durham, North Carolina, to encourage them to further explore their potential in these fields. This study evaluated the effect of the one-day event (""Capstone"") on the 4th-6th grade girls' interest in, knowledge of, and confidence in STEM subjects. Assessments (self-reported ratings) were obtained from 319 participants prior to, immediately after, and again three months after the Capstone event. A repeated measure ANOVA (analysis of variance between groups) revealed a significant increase in interest in engineering, and confidence and knowledge of math, science, and engineering three months after the one-day event. Continued exposure to STEM fields through outreach programs like the FEMMES semester-long afterschool program (Chen et al., J. Women Minor. Sci. Eng., vol. 17, no. 4, p. 315-327, 2011; companion paper) may result in stronger long-term outcomes. Results from this study indicate that hands-on workshops and mentorship from female faculty, graduate students, and undergraduate students may be important factors in inspiring young girls to pursue STEM fields. © 2011 by Begell House, Inc.","Confidence; Education; Elementary school; Gender disparity; Hands-on; Interest; Knowledge; Middle school; Outreach; Underprivileged",,"Shuen, J. A.; University Medical Center, Box 3813, Durham 27710, United States; email: jashuen@gmail.com",,,10728325,,,,"English","J. Women Minorities Sci. Eng.",Article,,Scopus,2-s2.0-84255175915
