"","continente","subcontinente","ISO3","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"BWA","Africa","Africa Austral","BWA",2,4,13,8,7,14,16,9,23,33,25,22,6,17,31,12,30,48,27,10,24,46,36,33,21,1,19,11,15,20,38,37,5,18,40,29,28,43,48,34,41,45,44,43,26,3,39,35
"ZAF","Africa","Africa Austral","ZAF",10,29,11,6,20,30,35,14,12,32,38,39,13,2,43,9,37,33,23,19,42,44,48,22,4,25,18,3,15,17,40,26,5,21,27,7,28,47,24,46,41,8,16,45,34,1,36,31
"CMR","Africa","Africa Central","CMR",28,48,4,40,10,19,23,38,22,35,16,48,38,17,5,40,25,12,48,14,48,21,36,11,1,29,7,33,6,24,26,48,2,3,15,20,48,27,48,30,31,14,10,32,48,8,34,18
"DZA","Africa","Africa del Norte","DZA",1,48,48,9,48,48,10,48,48,48,48,48,48,13,5,48,48,48,48,3,48,48,13,48,7,48,48,48,6,48,48,48,48,48,48,4,48,13,48,48,48,48,48,48,48,2,48,8
"EGY","Africa","Africa del Norte","EGY",24,17,40,43,29,37,19,28,3,5,15,42,13,14,21,25,20,32,22,36,27,41,31,9,4,2,35,46,8,18,48,7,34,11,23,6,33,26,44,47,10,16,39,30,38,1,12,45
"MAR","Africa","Africa del Norte","MAR",22,27,5,37,9,34,8,42,29,30,20,46,14,21,6,1,38,18,7,33,41,48,43,4,23,13,31,26,16,2,45,17,40,24,39,12,10,44,35,48,15,11,36,28,25,3,19,32
"TUN","Africa","Africa del Norte","TUN",5,22,45,34,10,36,8,24,12,25,48,23,11,7,7,31,1,21,14,19,13,46,39,3,2,17,43,32,35,28,16,29,40,4,27,26,18,38,47,30,9,41,20,42,37,44,15,33
"GHA","Africa","Africa Occidental","GHA",1,35,19,44,2,25,32,8,10,39,23,20,3,22,18,13,29,34,14,9,47,48,37,17,6,16,24,46,5,4,40,45,30,7,38,11,21,28,42,43,26,33,12,36,27,15,31,41
"NGA","Africa","Africa Occidental","NGA",2,9,29,1,13,39,36,5,7,42,23,43,28,27,33,15,18,31,24,30,47,41,44,10,8,25,6,45,17,12,38,26,16,4,32,20,19,48,46,40,22,14,3,21,35,11,37,34
"ETH","Africa","Africa Oriental","ETH",1,16,15,42,10,26,14,23,22,21,32,28,29,13,31,24,20,47,19,2,40,33,43,17,11,34,9,46,6,8,36,37,7,39,18,5,30,41,25,27,44,3,12,48,38,4,35,45
