"","continente","topic","value"
"1","Africa","Topic80",0.105387408213487
"2","Africa","Topic38",-0.0563584511090052
"3","Africa","Topic36",0.0676487544137328
"4","Africa","Topic18",-0.124584211348721
"5","Africa","Topic87",-0.361114436981518
"6","Africa","Topic04",0.582184881187908
"7","Africa","Topic37",-0.69288541492763
"8","Africa","Topic16",0.483566506919648
"9","Africa","Topic99",-0.0506336969973891
"10","Africa","Topic60",0.165841744829959
"11","Africa","Topic78",-0.17788373575769
"12","Africa","Topic97",-0.0812507820699322
"13","Africa","Topic95",-0.239811006821733
"14","Africa","Topic59",-0.414431510674245
"15","Africa","Topic34",0.176759818262423
"16","Africa","Topic94",-0.405430803572346
"17","Africa","Topic30",0.560984178834684
"18","Africa","Topic81",-0.347336123137237
"19","Africa","Topic33",0.18541775825449
"20","Africa","Topic58",0.864291058440623
"21","Africa","Topic22",0.549573266471015
"22","Africa","Topic10",-0.0966102916647453
"23","Africa","Topic57",0.594087650916828
"24","Africa","Topic11",0.0743710398654499
"25","Africa","Topic09",-0.307882232694974
"26","Africa","Topic54",0.0402222377053347
"27","Africa","Topic91",-0.225212100133994
"28","Africa","Topic90",-0.343961278846296
"29","Africa","Topic23",0.11241678242877
"30","Africa","Topic17",-0.328178915078235
"31","Africa","Topic55",-0.528642867133724
"32","Africa","Topic62",0.845471240548573
"33","Africa","Topic74",0.317913712723111
"34","Africa","Topic32",-0.286554551077712
"35","Africa","Topic07",0.281091323886401
"36","Africa","Topic92",-0.07838337289945
"37","Africa","Topic73",-0.722602512030677
"38","Africa","Topic19",0.216477420080022
"39","Africa","Topic41",-0.188452543004435
"40","Africa","Topic06",0.217381549721602
"41","Africa","Topic63",-0.0165335882569163
"42","Africa","Topic08",-0.380117729825812
"43","Africa","Topic12",-0.353668831670242
"44","Africa","Topic03",0.634215281621834
"45","Africa","Topic52",-0.223705514378255
"46","Africa","Topic43",0.0157636566021343
"47","Africa","Topic21",-0.427459775001162
"48","Africa","Topic96",-0.260408375089091
"49","America","Topic80",0.452260060873134
"50","America","Topic38",0.489429223633539
"51","America","Topic36",0.432032817611704
"52","America","Topic18",-0.0368618262889501
"53","America","Topic87",0.0623951541798239
"54","America","Topic04",-0.558673332734014
"55","America","Topic37",0.589714085439045
"56","America","Topic16",-0.129779881382572
"57","America","Topic99",-0.169154232191242
"58","America","Topic60",-0.21371787593148
"59","America","Topic78",-0.155355895713594
"60","America","Topic97",-0.455444586465875
"61","America","Topic95",0.528775862142477
"62","America","Topic59",-0.29359948628324
"63","America","Topic34",0.0156025980300462
"64","America","Topic94",0.109350823695944
"65","America","Topic30",-0.133194367006159
"66","America","Topic81",-0.135905705166896
"67","America","Topic33",-0.745380478966531
"68","America","Topic58",-0.0586247284758621
"69","America","Topic22",-0.273241170832725
"70","America","Topic10",-0.581766427566428
"71","America","Topic57",0.324900495611967
"72","America","Topic11",0.522400859104712
"73","America","Topic09",-0.164441288409738
"74","America","Topic54",-0.0777897400283965
"75","America","Topic91",0.418653336151001
"76","America","Topic90",-0.0664828304335566
"77","America","Topic23",-0.104625267886414
"78","America","Topic17",-0.456928184709146
"79","America","Topic55",0.370627260706453
"80","America","Topic62",0.092729106855148
"81","America","Topic74",0.339917566842497
"82","America","Topic32",0.349659642253681
"83","America","Topic07",-0.144768751193827
"84","America","Topic92",0.0964776728243148
"85","America","Topic73",-0.586514269206817
"86","America","Topic19",0.100853424189925
"87","America","Topic41",-0.22449452306155
"88","America","Topic06",0.10085428836624
"89","America","Topic63",-0.277466156223352
"90","America","Topic08",-0.586921798484245
"91","America","Topic12",-0.539112967095709
"92","America","Topic03",-0.168690623949717
"93","America","Topic52",-0.637284741319859
"94","America","Topic43",-0.34088512440752
"95","America","Topic21",0.232144357287378
"96","America","Topic96",0.394518313679964
"97","Asia","Topic80",-0.163314112695849
"98","Asia","Topic38",-0.0995087079007494
"99","Asia","Topic36",0.0257705193396475
"100","Asia","Topic18",0.0134153392133682
"101","Asia","Topic87",0.0938192695359758
"102","Asia","Topic04",-0.0546508416146856
"103","Asia","Topic37",0.145953254120342
"104","Asia","Topic16",-0.475478693363583
"105","Asia","Topic99",-0.452495683206046
"106","Asia","Topic60",-0.0310525000001392
"107","Asia","Topic78",-0.00544279667392461
"108","Asia","Topic97",0.233598876195058
"109","Asia","Topic95",-0.417122327127009
"110","Asia","Topic59",0.414001166071181
"111","Asia","Topic34",0.297980450633578
