"","continente","subcontinente","ISO3","topic","value"
"1","Africa","Africa Austral","BWA","Topic03",0.457530754835562
"2","Africa","Africa Austral","ZAF","Topic03",-0.231850599767791
"3","Africa","Africa Central","CMR","Topic03",-0.772931211765551
"4","Africa","Africa del Norte","DZA","Topic03",7.79778119058561
"5","Africa","Africa del Norte","EGY","Topic03",-0.577292052098287
"6","Africa","Africa del Norte","MAR","Topic03",-0.483254420492287
"7","Africa","Africa del Norte","TUN","Topic03",0.348949414987392
"8","Africa","Africa Occidental","GHA","Topic03",0.173373563678302
"9","Africa","Africa Occidental","NGA","Topic03",0.611936457339934
"10","Africa","Africa Oriental","ETH","Topic03",1.64812894282109
"11","Africa","Africa Oriental","KEN","Topic03",-0.0765790594610813
"12","Africa","Africa Oriental","TZA","Topic03",-0.24230002530474
"13","Africa","Africa Oriental","UGA","Topic03",-0.0197156052920954
"14","Africa","Africa Oriental","ZWE","Topic03",0.245236592639613
"15","America","America Central","CRI","Topic03",-0.824754123965814
"16","America","America Central","MEX","Topic03",-0.150506420140113
"17","America","America del Norte","CAN","Topic03",-0.439035071914727
"18","America","America del Norte","USA","Topic03",-0.0593043849666064
"19","America","America del Sur","ARG","Topic03",-0.571532469368543
"20","America","America del Sur","BRA","Topic03",-0.339124479276675
"21","America","America del Sur","CHL","Topic03",-0.114475386162212
"22","America","America del Sur","COL","Topic03",-0.579079351183469
"23","America","America del Sur","ECU","Topic03",0.223663253624119
"24","America","America del Sur","PER","Topic03",0.169260920454612
"25","America","America del Sur","URY","Topic03",-0.912147792469216
"26","America","America del Sur","VEN","Topic03",-0.98819561628972
"27","America","Caribe","CUB","Topic03",2.39225281031204
"28","Asia","Asia Central","KAZ","Topic03",0.518655215379462
"29","Asia","Asia del Sur","BGD","Topic03",-0.685780744033544
"30","Asia","Asia del Sur","IND","Topic03",-0.420361457769805
"31","Asia","Asia del Sur","IRN","Topic03",0.0741053531628828
"32","Asia","Asia del Sur","LKA","Topic03",-0.664501733931155
"33","Asia","Asia del Sur","NPL","Topic03",-0.691609103389754
"34","Asia","Asia del Sur","PAK","Topic03",-0.0455705742565366
"35","Asia","Asia Occidental","ARE","Topic03",0.334218799651347
"36","Asia","Asia Occidental","CYP","Topic03",-0.332516185620548
"37","Asia","Asia Occidental","IRQ","Topic03",-1.00414112773595
"38","Asia","Asia Occidental","ISR","Topic03",-0.387095831434305
"39","Asia","Asia Occidental","JOR","Topic03",-0.195703697411854
"40","Asia","Asia Occidental","KWT","Topic03",0.540295552342208
"41","Asia","Asia Occidental","LBN","Topic03",-0.585001969720642
"42","Asia","Asia Occidental","OMN","Topic03",0.992236905332633
"43","Asia","Asia Occidental","QAT","Topic03",1.53119519221537
"44","Asia","Asia Occidental","SAU","Topic03",0.405442084111195
"45","Asia","Asia Occidental","TUR","Topic03",-0.0139510071074774
"46","Asia","Asia Oriental","CHN","Topic03",-0.0567874888862197
"47","Asia","Asia Oriental","JPN","Topic03",-0.39254880086355
"48","Asia","Asia Oriental","KOR","Topic03",-0.447769617557958
"49","Asia","Sudeste Asiatico","IDN","Topic03",0.0283920672979211
"50","Asia","Sudeste Asiatico","MYS","Topic03",0.1478143343123
"51","Asia","Sudeste Asiatico","PHL","Topic03",0.145644144047899
"52","Asia","Sudeste Asiatico","SGP","Topic03",-0.308119553107809
"53","Asia","Sudeste Asiatico","THA","Topic03",0.667963186194205
"54","Asia","Sudeste Asiatico","VNM","Topic03",-0.0382987201354516
"55","Europa","Europa del Norte","DNK","Topic03",-0.211870350987635
"56","Europa","Europa del Norte","EST","Topic03",0.407036635255818
"57","Europa","Europa del Norte","FIN","Topic03",-0.373747346450566
"58","Europa","Europa del Norte","GBR","Topic03",-0.266543525413304
"59","Europa","Europa del Norte","IRL","Topic03",-0.1956099002857
"60","Europa","Europa del Norte","ISL","Topic03",0.0693107028245669
"61","Europa","Europa del Norte","LTU","Topic03",0.375145612363349
"62","Europa","Europa del Norte","LVA","Topic03",-0.190920043977984
"63","Europa","Europa del Norte","NOR","Topic03",-0.276236749551137
"64","Europa","Europa del Norte","SWE","Topic03",-0.189519950290022
"65","Europa","Europa del Sur","BIH","Topic03",1.14482318409506
"66","Europa","Europa del Sur","ESP","Topic03",0.0199010460917994
"67","Europa","Europa del Sur","GRC","Topic03",0.360726798821541
"68","Europa","Europa del Sur","HRV","Topic03",0.179506452696084
"69","Europa","Europa del Sur","ITA","Topic03",-0.229415716581912
"70","Europa","Europa del Sur","MKD","Topic03",-0.266091740795948
"71","Europa","Europa del Sur","MLT","Topic03",-1.00414112773595
"72","Europa","Europa del Sur","PRT","Topic03",-0.220664555714229
"73","Europa","Europa del Sur","SRB","Topic03",0.0268186640464626
"74","Europa","Europa del Sur","SVN","Topic03",-0.0590071765591331
"75","Europa","Europa Occidental","AUT","Topic03",-0.318220573375197
"76","Europa","Europa Occidental","BEL","Topic03",-0.434644158804926
"77","Europa","Europa Occidental","CHE","Topic03",-0.416435134431875
"78","Europa","Europa Occidental","DEU","Topic03",-0.00173736797516895
"79","Europa","Europa Occidental","FRA","Topic03",-0.3541882155253
"80","Europa","Europa Occidental","LUX","Topic03",-0.80747981989906
"81","Europa","Europa Occidental","NLD","Topic03",-0.0242213892549997
"82","Europa","Europa Oriental","BGR","Topic03",-0.881892206648155
"83","Europa","Europa Oriental","CZE","Topic03",0.240884405986053
"84","Europa","Europa Oriental","HUN","Topic03",-0.675929350467624
"85","Europa","Europa Oriental","POL","Topic03",-0.578096993781871
