"","subcontinente","topic","value"
"1","Africa Austral","Topic80",-0.250113212200458
"2","Africa Austral","Topic38",0.31531162903401
"3","Africa Austral","Topic36",0.640951858983759
"4","Africa Austral","Topic18",0.30723365948894
"5","Africa Austral","Topic87",-0.336432604123356
"6","Africa Austral","Topic04",1.88240141201049
"7","Africa Austral","Topic37",-0.663227908243345
"8","Africa Austral","Topic16",0.0787115238943218
"9","Africa Austral","Topic99",-0.259140304358245
"10","Africa Austral","Topic60",-0.0629642623141261
"11","Africa Austral","Topic78",-0.262968088943565
"12","Africa Austral","Topic97",-0.444272493911871
"13","Africa Austral","Topic95",-0.0751844830653736
"14","Africa Austral","Topic59",-0.574306443780002
"15","Africa Austral","Topic34",0.0388942321431342
"16","Africa Austral","Topic94",-0.502471896896536
"17","Africa Austral","Topic30",-0.295897042517046
"18","Africa Austral","Topic81",-0.238582765832334
"19","Africa Austral","Topic33",-0.382346156474128
"20","Africa Austral","Topic58",-0.174439571610888
"21","Africa Austral","Topic22",-0.633144729736097
"22","Africa Austral","Topic10",-0.300369905014937
"23","Africa Austral","Topic57",0.186685855201871
"24","Africa Austral","Topic11",0.401470841197988
"25","Africa Austral","Topic09",0.376040621768437
"26","Africa Austral","Topic54",-0.266744574202836
"27","Africa Austral","Topic91",-0.445196604562837
"28","Africa Austral","Topic90",-0.86454200054418
"29","Africa Austral","Topic23",0.190078542867775
"30","Africa Austral","Topic17",-0.602392550427824
"31","Africa Austral","Topic55",1.56778360306118
"32","Africa Austral","Topic62",1.19645262746139
"33","Africa Austral","Topic74",-0.221438967655841
"34","Africa Austral","Topic32",-0.814550029720189
"35","Africa Austral","Topic07",1.05423786949146
"36","Africa Austral","Topic92",-0.709395005156559
"37","Africa Austral","Topic73",-0.892591605040811
"38","Africa Austral","Topic19",1.19616374558929
"39","Africa Austral","Topic41",-0.751911141495702
"40","Africa Austral","Topic06",0.252458294862569
"41","Africa Austral","Topic63",-0.598811660513843
"42","Africa Austral","Topic08",-0.268627466593084
"43","Africa Austral","Topic12",-0.721051749771843
"44","Africa Austral","Topic03",0.112840077533885
"45","Africa Austral","Topic52",1.39799430379572
"46","Africa Austral","Topic43",-0.685558055195277
"47","Africa Austral","Topic21",0.171230302708265
"48","Africa Austral","Topic96",0.0966662890083251
"49","Africa Central","Topic80",0.875347091223257
"50","Africa Central","Topic38",-1.00460930897007
"51","Africa Central","Topic36",-1.47524432237449
"52","Africa Central","Topic18",-1.32625867862079
"53","Africa Central","Topic87",-0.308787641788019
"54","Africa Central","Topic04",-1.40022595413152
"55","Africa Central","Topic37",-0.109372593481149
"56","Africa Central","Topic16",-0.897709312312153
"57","Africa Central","Topic99",0.144039199911202
"58","Africa Central","Topic60",-1.39905615455727
"59","Africa Central","Topic78",-1.67842755428388
"60","Africa Central","Topic97",-0.789920194098573
"61","Africa Central","Topic95",-0.909960568415494
"62","Africa Central","Topic59",-0.364068387246749
"63","Africa Central","Topic34",0.0632240722632072
"64","Africa Central","Topic94",-0.463010900193473
"65","Africa Central","Topic30",-0.182587099014524
"66","Africa Central","Topic81",-0.712206625391466
"67","Africa Central","Topic33",-1.31115822015903
"68","Africa Central","Topic58",-0.449326492722023
"69","Africa Central","Topic22",2.89648312745303
"70","Africa Central","Topic10",-0.545177325663723
"71","Africa Central","Topic57",1.51869701417422
"72","Africa Central","Topic11",-0.781608809009534
"73","Africa Central","Topic09",-0.132276068175935
"74","Africa Central","Topic54",1.1393008833643
"75","Africa Central","Topic91",0.0699793820420443
"76","Africa Central","Topic90",-0.821992727314108
"77","Africa Central","Topic23",-0.843389985667971
"78","Africa Central","Topic17",0.297134590420868
"79","Africa Central","Topic55",-0.748950742354218
