id;pais;ISO2;continente;subcontinente;topico_number;topico;importancia_topico;periodo;cantidad
3;Mundial;Mundial;;;Topic03;T03 - Educacion superior;0.0221729779192361;2004_2006;999999999
6;Mundial;Mundial;;;Topic06;T06 - Religión;0.0208213916849015;2004_2006;999999999
8;Mundial;Mundial;;;Topic08;T08 - Analisis estadístico;0.0256819848816392;2004_2006;999999999
9;Mundial;Mundial;;;Topic09;T09 - Familia;0.0159871760493336;2004_2006;999999999
12;Mundial;Mundial;;;Topic11;T11 - Enferm. transm. Sexual;0.0153301110005968;2004_2006;999999999
13;Mundial;Mundial;;;Topic12;T12 - Cuestionarios;0.0256648394668789;2004_2006;999999999
17;Mundial;Mundial;;;Topic16;T16 - Trabajadoras sexuales;0.0111774915456535;2004_2006;999999999
18;Mundial;Mundial;;;Topic17;T17 - Autoestima;0.0223304519594191;2004_2006;999999999
22;Mundial;Mundial;;;Topic21;T21 - Identidades de genero;0.0281240194947285;2004_2006;999999999
31;Mundial;Mundial;;;Topic30;T30 - Cigarrillo;0.0141586835090511;2004_2006;999999999
33;Mundial;Mundial;;;Topic32;T32 - Orientación sexual;0.0191440425701213;2004_2006;999999999
34;Mundial;Mundial;;;Topic33;T33 - Marketing;0.0120627224985081;2004_2006;999999999
37;Mundial;Mundial;;;Topic36;T36 - Violencia de pareja;0.00844345733041576;2004_2006;999999999
39;Mundial;Mundial;;;Topic38;T38 - Lenguaje feminista;0.00427474756315894;2004_2006;999999999
42;Mundial;Mundial;;;Topic41;T41 - Lugar de trabajo;0.017715697632783;2004_2006;999999999
44;Mundial;Mundial;;;Topic43;T43 - Inequidad de género;0.0236638376765466;2004_2006;999999999
49;Mundial;Mundial;;;Topic48;T48 - Imagen corporal;0.0138935890192958;2004_2006;999999999
53;Mundial;Mundial;;;Topic52;T52 - Experimentos;0.0299029222200119;2004_2006;999999999
56;Mundial;Mundial;;;Topic55;T55 - Racismo;0.0161628506067237;2004_2006;999999999
60;Mundial;Mundial;;;Topic59;T59 - Escuela;0.0122534322657649;2004_2006;999999999
63;Mundial;Mundial;;;Topic62;T62 - Violencia domestica;0.0200923158941715;2004_2006;999999999
73;Mundial;Mundial;;;Topic72;T72 - Abuso de sustancias;0.0208986779391287;2004_2006;999999999
74;Mundial;Mundial;;;Topic73;T73 - Estereotipos de género;0.0237208132086732;2004_2006;999999999
85;Mundial;Mundial;;;Topic84;T84 - Acoso (Bullying);0.0209266381539686;2004_2006;999999999
91;Mundial;Mundial;;;Topic90;T90 - Terapia;0.0197196009548438;2004_2006;999999999
93;Mundial;Mundial;;;Topic92;T92 - Género y trabajo;0.0205333487169286;2004_2006;999999999
95;Mundial;Mundial;;;Topic94;T94 - Diversidad de género;0.0123441710761886;2004_2006;999999999
97;Mundial;Mundial;;;Topic96;T96 - Teoría feminista;0.0569177652675552;2004_2006;999999999
98;Mundial;Mundial;;;Topic97;T97 - Acoso sexual;0.0132731887805848;2004_2006;999999999
100;Mundial;Mundial;;;Topic99;T99 - Cine;0.0104405024865725;2004_2006;999999999
103;Mundial;Mundial;;;Topic03;T03 - Educacion superior;0.0302465893480464;2007_2009;999999999
106;Mundial;Mundial;;;Topic06;T06 - Religión;0.0250529810832114;2007_2009;999999999
108;Mundial;Mundial;;;Topic08;T08 - Analisis estadístico;0.0270142887062268;2007_2009;999999999
109;Mundial;Mundial;;;Topic09;T09 - Familia;0.0185569085688549;2007_2009;999999999
112;Mundial;Mundial;;;Topic11;T11 - Enferm. transm. Sexual;0.0179047357279586;2007_2009;999999999
113;Mundial;Mundial;;;Topic12;T12 - Cuestionarios;0.0272662295912623;2007_2009;999999999
117;Mundial;Mundial;;;Topic16;T16 - Trabajadoras sexuales;0.0119825000563;2007_2009;999999999
118;Mundial;Mundial;;;Topic17;T17 - Autoestima;0.0226180656457606;2007_2009;999999999
122;Mundial;Mundial;;;Topic21;T21 - Identidades de genero;0.0358301672108997;2007_2009;999999999
131;Mundial;Mundial;;;Topic30;T30 - Cigarrillo;0.0160681157527305;2007_2009;999999999
133;Mundial;Mundial;;;Topic32;T32 - Orientación sexual;0.0224550651953609;2007_2009;999999999
134;Mundial;Mundial;;;Topic33;T33 - Marketing;0.0148628018241189;2007_2009;999999999
137;Mundial;Mundial;;;Topic36;T36 - Violencia de pareja;0.00922089956086026;2007_2009;999999999
139;Mundial;Mundial;;;Topic38;T38 - Lenguaje feminista;0.00503488379686972;2007_2009;999999999
142;Mundial;Mundial;;;Topic41;T41 - Lugar de trabajo;0.0220300325413805;2007_2009;999999999
144;Mundial;Mundial;;;Topic43;T43 - Inequidad de género;0.0287272472694516;2007_2009;999999999
149;Mundial;Mundial;;;Topic48;T48 - Imagen corporal;0.0149324148181511;2007_2009;999999999
153;Mundial;Mundial;;;Topic52;T52 - Experimentos;0.0307299464024322;2007_2009;999999999
156;Mundial;Mundial;;;Topic55;T55 - Racismo;0.0189501279135233;2007_2009;999999999
160;Mundial;Mundial;;;Topic59;T59 - Escuela;0.0143188968584619;2007_2009;999999999
163;Mundial;Mundial;;;Topic62;T62 - Violencia domestica;0.0227834606463236;2007_2009;999999999
173;Mundial;Mundial;;;Topic72;T72 - Abuso de sustancias;0.0209331575273055;2007_2009;999999999
174;Mundial;Mundial;;;Topic73;T73 - Estereotipos de género;0.0245075367638779;2007_2009;999999999
185;Mundial;Mundial;;;Topic84;T84 - Acoso (Bullying);0.0234145956536426;2007_2009;999999999
191;Mundial;Mundial;;;Topic90;T90 - Terapia;0.0219571698006981;2007_2009;999999999
193;Mundial;Mundial;;;Topic92;T92 - Género y trabajo;0.0237688180385092;2007_2009;999999999
195;Mundial;Mundial;;;Topic94;T94 - Diversidad de género;0.0153215292196825;2007_2009;999999999
197;Mundial;Mundial;;;Topic96;T96 - Teoría feminista;0.0637513062718162;2007_2009;999999999
198;Mundial;Mundial;;;Topic97;T97 - Acoso sexual;0.0152002623578426;2007_2009;999999999
200;Mundial;Mundial;;;Topic99;T99 - Cine;0.0118429319896408;2007_2009;999999999
203;Mundial;Mundial;;;Topic03;T03 - Educacion superior;0.0316117568675329;2010_2012;999999999
206;Mundial;Mundial;;;Topic06;T06 - Religión;0.0253730646202145;2010_2012;999999999
208;Mundial;Mundial;;;Topic08;T08 - Analisis estadístico;0.0273582934507718;2010_2012;999999999
209;Mundial;Mundial;;;Topic09;T09 - Familia;0.0183752691200837;2010_2012;999999999
212;Mundial;Mundial;;;Topic11;T11 - Enferm. transm. Sexual;0.0187266877125665;2010_2012;999999999
213;Mundial;Mundial;;;Topic12;T12 - Cuestionarios;0.0286480848521845;2010_2012;999999999
217;Mundial;Mundial;;;Topic16;T16 - Trabajadoras sexuales;0.0135972607482341;2010_2012;999999999
218;Mundial;Mundial;;;Topic17;T17 - Autoestima;0.0206225610011337;2010_2012;999999999
222;Mundial;Mundial;;;Topic21;T21 - Identidades de genero;0.0388818075346647;2010_2012;999999999
231;Mundial;Mundial;;;Topic30;T30 - Cigarrillo;0.0152242297026249;2010_2012;999999999
233;Mundial;Mundial;;;Topic32;T32 - Orientación sexual;0.0218331889770646;2010_2012;999999999
234;Mundial;Mundial;;;Topic33;T33 - Marketing;0.015386605476585;2010_2012;999999999
237;Mundial;Mundial;;;Topic36;T36 - Violencia de pareja;0.00973682209819482;2010_2012;999999999
239;Mundial;Mundial;;;Topic38;T38 - Lenguaje feminista;0.00546115941397052;2010_2012;999999999
242;Mundial;Mundial;;;Topic41;T41 - Lugar de trabajo;0.0256218639574431;2010_2012;999999999
244;Mundial;Mundial;;;Topic43;T43 - Inequidad de género;0.0316199943315601;2010_2012;999999999
249;Mundial;Mundial;;;Topic48;T48 - Imagen corporal;0.0150807023633034;2010_2012;999999999
253;Mundial;Mundial;;;Topic52;T52 - Experimentos;0.0307917801517398;2010_2012;999999999
256;Mundial;Mundial;;;Topic55;T55 - Racismo;0.0213259566582367;2010_2012;999999999
260;Mundial;Mundial;;;Topic59;T59 - Escuela;0.0152288370977588;2010_2012;999999999
263;Mundial;Mundial;;;Topic62;T62 - Violencia domestica;0.0206687745705067;2010_2012;999999999
273;Mundial;Mundial;;;Topic72;T72 - Abuso de sustancias;0.021963452603122;2010_2012;999999999
274;Mundial;Mundial;;;Topic73;T73 - Estereotipos de género;0.0247404553065318;2010_2012;999999999
285;Mundial;Mundial;;;Topic84;T84 - Acoso (Bullying);0.0269187758786082;2010_2012;999999999
291;Mundial;Mundial;;;Topic90;T90 - Terapia;0.0215250519752333;2010_2012;999999999
293;Mundial;Mundial;;;Topic92;T92 - Género y trabajo;0.0243897348042208;2010_2012;999999999
295;Mundial;Mundial;;;Topic94;T94 - Diversidad de género;0.0150222024069068;2010_2012;999999999
297;Mundial;Mundial;;;Topic96;T96 - Teoría feminista;0.0735567840760443;2010_2012;999999999
298;Mundial;Mundial;;;Topic97;T97 - Acoso sexual;0.0149583969652045;2010_2012;999999999
300;Mundial;Mundial;;;Topic99;T99 - Cine;0.0135939099154094;2010_2012;999999999
303;Mundial;Mundial;;;Topic03;T03 - Educacion superior;0.0310070751864268;2013_2015;999999999
306;Mundial;Mundial;;;Topic06;T06 - Religión;0.0270143567079428;2013_2015;999999999
308;Mundial;Mundial;;;Topic08;T08 - Analisis estadístico;0.0269488082369843;2013_2015;999999999
309;Mundial;Mundial;;;Topic09;T09 - Familia;0.0168873386467811;2013_2015;999999999
312;Mundial;Mundial;;;Topic11;T11 - Enferm. transm. Sexual;0.0179485838407334;2013_2015;999999999
313;Mundial;Mundial;;;Topic12;T12 - Cuestionarios;0.0282655159061367;2013_2015;999999999
317;Mundial;Mundial;;;Topic16;T16 - Trabajadoras sexuales;0.0146468830813436;2013_2015;999999999
318;Mundial;Mundial;;;Topic17;T17 - Autoestima;0.0208319441061777;2013_2015;999999999
322;Mundial;Mundial;;;Topic21;T21 - Identidades de genero;0.0406935722104399;2013_2015;999999999
331;Mundial;Mundial;;;Topic30;T30 - Cigarrillo;0.0154078633098447;2013_2015;999999999
333;Mundial;Mundial;;;Topic32;T32 - Orientación sexual;0.0212537054799206;2013_2015;999999999
334;Mundial;Mundial;;;Topic33;T33 - Marketing;0.0168402187863447;2013_2015;999999999
337;Mundial;Mundial;;;Topic36;T36 - Violencia de pareja;0.00956025552438941;2013_2015;999999999
339;Mundial;Mundial;;;Topic38;T38 - Lenguaje feminista;0.00551556174317575;2013_2015;999999999
342;Mundial;Mundial;;;Topic41;T41 - Lugar de trabajo;0.0255338882123555;2013_2015;999999999
344;Mundial;Mundial;;;Topic43;T43 - Inequidad de género;0.0344353484983239;2013_2015;999999999
349;Mundial;Mundial;;;Topic48;T48 - Imagen corporal;0.0147733452828898;2013_2015;999999999
353;Mundial;Mundial;;;Topic52;T52 - Experimentos;0.0315804587808716;2013_2015;999999999
356;Mundial;Mundial;;;Topic55;T55 - Racismo;0.0219658002326059;2013_2015;999999999
360;Mundial;Mundial;;;Topic59;T59 - Escuela;0.0143267549428747;2013_2015;999999999
363;Mundial;Mundial;;;Topic62;T62 - Violencia domestica;0.022034328179517;2013_2015;999999999
373;Mundial;Mundial;;;Topic72;T72 - Abuso de sustancias;0.0196970948210987;2013_2015;999999999
374;Mundial;Mundial;;;Topic73;T73 - Estereotipos de género;0.0229637039748238;2013_2015;999999999
